Date,Close,Index_predicted,Return,mean_of_group,r_cat,top_pred,top_prob
2017-08-24,3271.51,3267.923027105908,-0.004924415244699776,-0.006015443286824101,"(-0.00804, -0.00408]",-0.006015443286824101,0.48551008105278015
2017-08-25,3331.52,3290.17048635867,0.018343211544516125,0.017640144267200328,"(0.0157, 0.0197]",0.005703936823873401,0.5342171788215637
2017-08-28,3362.65,3324.932712343191,0.009344083181250573,0.009682278338297186,"(0.0078, 0.0118]",-0.0019772619275313257,0.702509343624115
2017-08-29,3365.23,3381.830343160798,0.0007672520184973664,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.9393740892410278
2017-08-30,3363.63,3358.5760588436137,-0.000475450414978984,-0.0019772619275313257,"(-0.00408, -0.000124]",-0.0019772619275313257,0.9846199154853821
2017-08-31,3360.81,3368.3191136676983,-0.0008383799645026446,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.4409075677394867
2017-09-01,3367.12,3365.4951824087475,0.0018775235731862683,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.5582518577575684
2017-09-04,3379.58,3307.013502580075,0.003700491814963458,0.0013940634575438315,"(-0.000124, 0.00384]",-0.017851011374683645,0.400424063205719
2017-09-05,3384.32,3425.722595391811,0.0014025411441658253,0.0013940634575438315,"(-0.000124, 0.00384]",0.013653352011732544,0.9279066920280457
2017-09-06,3385.39,3389.0379568406347,0.00031616395612710235,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.7984605431556702
2017-09-07,3365.5,3390.109448488534,-0.005875246278862933,-0.006015443286824101,"(-0.00804, -0.00408]",0.0013940634575438315,0.9202970862388611
2017-09-08,3365.24,3384.6965993807457,-7.725449413165109e-05,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.9785182476043701
2017-09-11,3376.42,3384.4351163571714,0.0033221999025330184,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.8123164176940918
2017-09-12,3379.49,3395.6788863708625,0.0009092470723428558,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.9981710910797119
2017-09-13,3384.15,3398.766397456912,0.0013789062846760736,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.9990252256393433
2017-09-14,3371.43,3403.452977802511,-0.0037586986392448285,-0.0019772619275313257,"(-0.00408, -0.000124]",0.005703936823873401,0.8650805950164795
2017-09-15,3353.62,3324.430673710371,-0.005282624880243669,-0.006015443286824101,"(-0.00804, -0.00408]",-0.013940472229774408,0.47234493494033813
2017-09-18,3362.86,3358.2951590924877,0.002755231660116708,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.8223110437393188
2017-09-19,3356.84,3342.6309063884705,-0.0017901429140672054,-0.0019772619275313257,"(-0.00408, -0.000124]",-0.006015443286824101,0.9923555850982666
2017-09-20,3366.0,3336.6471193570574,0.0027287568069969126,0.0013940634575438315,"(-0.000124, 0.00384]",-0.006015443286824101,0.9626861214637756
2017-09-21,3357.81,3370.6924175980926,-0.0024331550802139112,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.9676974415779114
2017-09-22,3352.53,3390.321251027118,-0.001572453474139368,-0.0019772619275313257,"(-0.00408, -0.000124]",0.009682278338297186,0.9509833455085754
2017-09-25,3341.55,3332.363045917624,-0.003275138477508044,-0.0019772619275313257,"(-0.00408, -0.000124]",-0.006015443286824101,0.759900689125061
2017-09-26,3343.58,3346.2083327465557,0.0006075025063219108,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.7180765271186829
2017-09-27,3345.27,3375.953472206364,0.0005054462582023689,0.0013940634575438315,"(-0.000124, 0.00384]",0.009682278338297186,0.8904656171798706
2017-09-28,3339.64,3325.146718035886,-0.0016829732727104973,-0.0019772619275313257,"(-0.00408, -0.000124]",-0.006015443286824101,0.9214232563972473
2017-09-29,3348.94,3280.024048372651,0.002784731288402398,0.0013940634575438315,"(-0.000124, 0.00384]",-0.017851011374683645,0.9695918560028076
2017-10-09,3374.38,3381.3653692182575,0.0075964334983607,0.005703936823873401,"(0.00384, 0.0078]",0.009682278338297186,0.9346348643302917
2017-10-10,3382.99,3367.707966896977,0.0025515798457789174,0.0013940634575438315,"(-0.000124, 0.00384]",-0.0019772619275313257,0.6111101508140564
2017-10-11,3388.28,3387.7061027362356,0.001563705479472377,0.0013940634575438315,"(-0.000124, 0.00384]",0.0013940634575438315,0.9981243014335632
2017-10-12,3386.1,3327.795775179387,-0.0006433942885476496,-0.0019772619275313257,"(-0.00408, -0.000124]",-0.017851011374683645,0.7023985385894775
2017-10-13,3390.52,3365.7311074864847,0.001305336522843481,0.0013940634575438315,"(-0.000124, 0.00384]",-0.006015443286824101,0.7516570687294006
2017-10-16,3378.47,3423.3479583515636,-0.0035540271108857047,-0.0019772619275313257,"(-0.00408, -0.000124]",0.009682278338297186,0.9812936186790466
2017-10-17,3372.04,3397.740579441351,-0.0019032283844461206,-0.0019772619275313257,"(-0.00408, -0.000124]",0.005703936823873401,0.5510261654853821
2017-10-18,3381.79,3325.032170022311,0.0028914247755067457,0.0013940634575438315,"(-0.000124, 0.00384]",-0.013940472229774408,0.9590831995010376
2017-10-19,3370.17,3386.504429860087,-0.003436050139127511,-0.0019772619275313257,"(-0.00408, -0.000124]",0.0013940634575438315,0.9892544746398926
2017-10-20,3378.65,3389.3932367657135,0.002516193545132772,0.0013940634575438315,"(-0.000124, 0.00384]",0.005703936823873401,0.47479233145713806
