Date,Open,High,Low,Close,Volume,Adj Close
2010-09-27,2627.97,2627.97,2627.97,2627.97,000,2627.97
2010-09-24,2591.55,2591.55,2591.55,2591.55,000,2591.55
2010-09-23,2591.55,2591.55,2591.55,2591.55,000,2591.55
2010-09-22,2591.55,2591.55,2591.55,2591.55,000,2591.55
2010-09-21,2591.55,2591.55,2591.55,2591.55,000,2591.55
2010-09-20,2588.71,2588.71,2588.71,2588.71,000,2588.71
2010-09-17,2598.69,2598.69,2598.69,2598.69,000,2598.69
2010-09-16,2602.47,2602.47,2602.47,2602.47,000,2602.47
2010-09-15,2652.50,2652.50,2652.50,2652.50,000,2652.50
2010-09-14,2688.52,2688.52,2688.52,2688.52,000,2688.52
2010-09-13,2688.32,2688.32,2688.32,2688.32,000,2688.32
2010-09-10,2663.21,2663.21,2663.21,2663.21,000,2663.21
2010-09-09,2656.35,2656.35,2656.35,2656.35,000,2656.35
2010-09-08,2695.29,2695.29,2695.29,2695.29,000,2695.29
2010-09-07,2698.36,2698.36,2698.36,2698.36,000,2698.36
2010-09-06,2696.25,2696.25,2696.25,2696.25,000,2696.25
2010-09-03,2655.39,2655.39,2655.39,2655.39,000,2655.39
2010-09-02,2655.78,2655.78,2655.78,2655.78,000,2655.78
2010-09-01,2622.88,2622.88,2622.88,2622.88,000,2622.88
2010-08-31,2638.80,2638.80,2638.80,2638.80,000,2638.80
2010-08-30,2652.66,2652.66,2652.66,2652.66,000,2652.66
2010-08-27,2610.74,2610.74,2610.74,2610.74,000,2610.74
2010-08-26,2603.48,2603.48,2603.48,2603.48,000,2603.48
2010-08-25,2596.58,2596.58,2596.58,2596.58,000,2596.58
2010-08-24,2650.31,2650.31,2650.31,2650.31,000,2650.31
2010-08-23,2639.37,2639.37,2639.37,2639.37,000,2639.37
2010-08-20,2642.31,2642.31,2642.31,2642.31,000,2642.31
2010-08-19,2687.98,2687.98,2687.98,2687.98,000,2687.98
2010-08-18,2666.30,2666.30,2666.30,2666.30,000,2666.30
2010-08-17,2671.89,2671.89,2671.89,2671.89,000,2671.89
2010-08-16,2661.71,2661.71,2661.71,2661.71,000,2661.71
2010-08-13,2606.70,2606.70,2606.70,2606.70,000,2606.70
2010-08-12,2575.48,2575.48,2575.48,2575.48,000,2575.48
2010-08-11,2607.50,2607.50,2607.50,2607.50,000,2607.50
2010-08-10,2595.27,2595.27,2595.27,2595.27,000,2595.27
2010-08-09,2672.53,2672.53,2672.53,2672.53,000,2672.53
2010-08-06,2658.39,2658.39,2658.39,2658.39,000,2658.39
2010-08-05,2620.76,2620.76,2620.76,2620.76,000,2620.76
2010-08-04,2638.52,2638.52,2638.52,2638.52,000,2638.52
2010-08-03,2627.00,2627.00,2627.00,2627.00,000,2627.00
2010-08-02,2672.52,2672.52,2672.52,2672.52,000,2672.52
2010-07-30,2637.50,2637.50,2637.50,2637.50,000,2637.50
2010-07-29,2648.12,2648.12,2648.12,2648.12,000,2648.12
2010-07-28,2633.66,2633.66,2633.66,2633.66,000,2633.66
2010-07-27,2575.37,2575.37,2575.37,2575.37,000,2575.37
2010-07-26,2588.68,2588.68,2588.68,2588.68,000,2588.68
2010-07-23,2572.03,2572.03,2572.03,2572.03,000,2572.03
2010-07-22,2562.41,2562.41,2562.41,2562.41,000,2562.41
2010-07-21,2535.39,2535.39,2535.39,2535.39,000,2535.39
2010-07-20,2528.73,2528.73,2528.73,2528.73,000,2528.73
2010-07-19,2475.42,2475.42,2475.42,2475.42,000,2475.42
2010-07-16,2424.27,2424.27,2424.27,2424.27,000,2424.27
2010-07-15,2424.30,2424.30,2424.30,2424.30,000,2424.30
2010-07-14,2470.44,2470.44,2470.44,2470.44,000,2470.44
2010-07-13,2450.29,2450.29,2450.29,2450.29,000,2450.29
2010-07-12,2490.72,2490.72,2490.72,2490.72,000,2490.72
2010-07-09,2470.92,2470.92,2470.92,2470.92,000,2470.92
2010-07-08,2415.15,2415.15,2415.15,2415.15,000,2415.15
2010-07-07,2421.12,2421.12,2421.12,2421.12,000,2421.12
2010-07-06,2409.42,2409.42,2409.42,2409.42,000,2409.42
2010-07-05,2363.95,2363.95,2363.95,2363.95,000,2363.95
2010-07-02,2382.90,2382.90,2382.90,2382.90,000,2382.90
2010-07-01,2373.79,2373.79,2373.79,2373.79,000,2373.79
2010-06-30,2398.37,2398.37,2398.37,2398.37,000,2398.37
2010-06-29,2427.05,2427.05,2427.05,2427.05,000,2427.05
2010-06-28,2535.28,2535.28,2535.28,2535.28,000,2535.28
2010-06-25,2552.82,2552.82,2552.82,2552.82,000,2552.82
2010-06-24,2566.75,2566.75,2566.75,2566.75,000,2566.75
2010-06-23,2569.87,2569.87,2569.87,2569.87,000,2569.87
2010-06-22,2588.70,2588.70,2588.70,2588.70,000,2588.70
2010-06-21,2586.21,2586.21,2586.21,2586.21,000,2586.21
2010-06-18,2513.22,2513.22,2513.22,2513.22,000,2513.22
2010-06-17,2560.25,2560.25,2560.25,2560.25,000,2560.25
2010-06-16,2569.94,2569.94,2569.94,2569.94,000,2569.94
2010-06-15,2569.94,2569.94,2569.94,2569.94,000,2569.94
2010-06-14,2569.94,2569.94,2569.94,2569.94,000,2569.94
2010-06-11,2569.94,2569.94,2569.94,2569.94,000,2569.94
2010-06-10,2562.58,2562.58,2562.58,2562.58,000,2562.58
2010-06-09,2583.87,2583.87,2583.87,2583.87,000,2583.87
2010-06-08,2513.95,2513.95,2513.95,2513.95,000,2513.95
2010-06-07,2511.73,2511.73,2511.73,2511.73,000,2511.73
2010-06-04,2553.59,2553.59,2553.59,2553.59,000,2553.59
2010-06-03,2552.66,2552.66,2552.66,2552.66,000,2552.66
2010-06-02,2571.42,2571.42,2571.42,2571.42,000,2571.42
2010-06-01,2568.28,2568.28,2568.28,2568.28,000,2568.28
2010-05-31,2592.15,2592.15,2592.15,2592.15,000,2592.15
2010-05-28,2655.77,2655.77,2655.77,2655.77,000,2655.77
2010-05-27,2655.92,2655.92,2655.92,2655.92,000,2655.92
2010-05-26,2625.79,2625.79,2625.79,2625.79,000,2625.79
2010-05-25,2622.63,2622.63,2622.63,2622.63,000,2622.63
2010-05-24,2673.42,2673.42,2673.42,2673.42,000,2673.42
